"timestamp","component","cpu","ram"
2026-02-27 21:03:30,op-geth,0.0880,51.9
2026-02-27 21:03:45,op-geth,0.0914,43.3
2026-02-27 21:04:00,op-geth,0.102,49.3
2026-02-27 21:04:15,op-geth,0.107,46.9
2026-02-27 21:04:30,op-geth,0.118,49.5
2026-02-27 21:04:45,op-geth,0.123,70.0
2026-02-27 21:05:00,op-geth,0.122,70.2
2026-02-27 21:05:15,op-geth,0.102,66.9
2026-02-27 21:05:30,op-geth,0.0933,66.8
2026-02-27 21:05:45,op-geth,0.0865,63.6
2026-02-27 21:06:00,op-geth,0.0937,61.6
2026-02-27 21:06:15,op-geth,0.0982,58.1
2026-02-27 21:06:30,op-geth,0.108,53.5
2026-02-27 21:06:45,op-geth,0.112,50.4
2026-02-27 21:07:00,op-geth,0.121,71.3
2026-02-27 21:07:15,op-geth,0.124,64.4
2026-02-27 21:07:30,op-geth,0.134,55.4
2026-02-27 21:07:45,op-geth,0.138,77.9
2026-02-27 21:08:00,op-geth,0.147,69.0
2026-02-27 21:08:15,op-geth,0.151,62.4
2026-02-27 21:08:30,op-geth,0.158,80.5
2026-02-27 21:08:45,op-geth,0.159,73.0
2026-02-27 21:09:00,op-geth,0.158,62.5
2026-02-27 21:09:15,op-geth,0.158,57.5
2026-02-27 21:09:30,op-geth,0.158,74.7
2026-02-27 21:09:45,op-geth,0.159,68.4
2026-02-27 21:10:00,op-geth,0.158,87.4
2026-02-27 21:10:15,op-geth,0.158,77.8
2026-02-27 21:10:30,op-geth,0.157,64.2
2026-02-27 21:10:45,op-geth,0.158,57.9
2026-02-27 21:11:00,op-geth,0.157,73.8
2026-02-27 21:11:15,op-geth,0.157,64.0
2026-02-27 21:11:30,op-geth,0.156,77.3
2026-02-27 21:11:45,op-geth,0.157,67.4
2026-02-27 21:12:00,op-geth,0.156,82.4
2026-02-27 21:12:15,op-geth,0.156,71.4
2026-02-27 21:12:30,op-geth,0.156,85.9
2026-02-27 21:12:45,op-geth,0.156,73.4
2026-02-27 21:13:00,op-geth,0.155,87.8
2026-02-27 21:13:15,op-geth,0.156,78.7
2026-02-27 21:13:30,op-geth,0.155,59.0
2026-02-27 21:13:45,op-geth,0.156,82.2
